Date,AAPL,MSFT,AMZN,GOOGL
2022-07-29,161.11524963378906,276.90283203125,134.9499969482422,116.31999969482422
2022-08-01,160.12384033203125,274.21014404296875,135.38999938964844,114.86000061035156
2022-08-02,158.63670349121094,271.0637512207031,134.16000366210938,115.12999725341797
2022-08-03,164.70419311523438,278.6091613769531,139.52000427246094,118.08000183105469
2022-08-04,164.3869171142578,279.7730407714844,142.57000732421875,118.19000244140625
2022-08-05,164.1586151123047,279.0431213378906,140.8000030517578,117.47000122070312
2022-08-08,163.6820526123047,276.4885559082031,139.41000366210938,117.30000305175781
2022-08-09,163.73170471191406,278.44146728515625,137.8300018310547,116.62999725341797
2022-08-10,168.0205841064453,285.2077331542969,142.69000244140625,119.69999694824219
2022-08-11,167.27597045898438,283.0969543457031,140.63999938964844,118.83999633789062
2022-08-12,170.85995483398438,287.9200744628906,143.5500030517578,121.68000030517578
2022-08-15,171.94210815429688,289.4588317871094,143.17999267578125,122.08000183105469
2022-08-16,171.78326416015625,288.7091979980469,144.77999877929688,121.69999694824219
2022-08-17,173.2923126220703,287.9481201171875,142.10000610351562,119.55000305175781
2022-08-18,172.8951873779297,286.8114318847656,142.3000030517578,120.16999816894531
2022-08-19,170.2841339111328,282.8379821777344,138.22999572753906,117.20999908447266
2022-08-22,166.36260986328125,274.5351867675781,133.22000122070312,114.23999786376953
2022-08-23,166.02503967285156,273.2403259277344,133.6199951171875,113.86000061035156
2022-08-24,166.3228759765625,272.5978698730469,133.8000030517578,113.69000244140625
2022-08-25,168.8048858642578,275.6224365234375,137.27999877929688,116.6500015258789
2022-08-26,162.4410400390625,264.98699951171875,130.75,110.33999633789062
2022-08-29,160.2172088623047,262.16009521484375,129.7899932861328,109.41999816894531
2022-08-30,157.7650146484375,259.92626953125,128.72999572753906,108.94000244140625
2022-08-31,156.08717346191406,258.443603515625,126.7699966430664,108.22000122070312
2022-09-01,156.8218536376953,257.385986328125,127.81999969482422,109.73999786376953
2022-09-02,154.6873321533203,253.0962371826172,127.51000213623047,107.8499984741211
2022-09-06,153.4165496826172,250.31875610351562,126.11000061035156,106.80999755859375
2022-09-07,154.8362579345703,255.1027374267578,129.47999572753906,109.44999694824219
2022-09-08,153.3470916748047,255.5277099609375,129.82000732421875,108.37999725341797
2022-09-09,156.23609924316406,261.3989562988281,133.27000427246094,110.6500015258789
2022-09-12,162.25242614746094,263.5636291503906,136.4499969482422,110.86000061035156
2022-09-13,152.7315216064453,249.07334899902344,126.81999969482422,104.31999969482422
2022-09-14,154.19093322753906,249.30067443847656,128.5500030517578,105.0
2022-09-15,151.2720947265625,242.5398406982422,126.27999877929688,102.91000366210938
2022-09-16,149.61415100097656,241.90725708007812,123.52999877929688,102.80000305175781
2022-09-19,153.36691284179688,241.68978881835938,124.66000366210938,103.06999969482422
2022-09-20,155.76947021484375,239.6437530517578,122.19000244140625,101.13999938964844
2022-09-21,152.61239624023438,236.18426513671875,118.54000091552734,99.27999877929688
2022-09-22,151.6394500732422,238.19076538085938,117.30999755859375,100.13999938964844
2022-09-23,149.34608459472656,235.16619873046875,113.77999877929688,98.73999786376953
2022-09-26,149.68365478515625,234.7016143798828,115.1500015258789,98.16999816894531
2022-09-27,150.66651916503906,233.67369079589844,114.41000366210938,97.5
2022-09-28,148.76034545898438,238.2797393798828,118.01000213623047,100.05000305175781
2022-09-29,141.45338439941406,234.75103759765625,114.80000305175781,97.41999816894531
2022-09-30,137.20420837402344,230.20428466796875,113.0,95.6500015258789
2022-10-03,141.42359924316406,237.95355224609375,115.87999725341797,98.63999938964844
2022-10-04,145.0472869873047,245.9993438720703,121.08999633789062,101.63999938964844
2022-10-05,145.34512329101562,246.3156280517578,120.94999694824219,101.43000030517578
2022-10-06,144.3821258544922,243.9335174560547,120.30000305175781,101.41999816894531
2022-10-07,139.08059692382812,231.52879333496094,114.55999755859375,98.68000030517578
2022-10-10,139.408203125,226.59654235839844,113.66999816894531,97.86000061035156
2022-10-11,137.9785919189453,222.80099487304688,112.20999908447266,97.18000030517578
2022-10-12,137.3432159423828,223.13705444335938,112.9000015258789,97.55999755859375
2022-10-13,141.959716796875,231.52879333496094,112.52999877929688,99.05999755859375
2022-10-14,137.38291931152344,225.91453552246094,106.9000015258789,96.55999755859375
2022-10-17,141.38389587402344,234.78070068359375,113.79000091552734,99.97000122070312
2022-10-18,142.7142333984375,235.73948669433594,116.36000061035156,100.7699966430664
2022-10-19,142.8234405517578,233.7428436279297,115.06999969482422,99.62999725341797
2022-10-20,142.3568115234375,233.4166717529297,115.25,99.97000122070312
2022-10-21,146.20887756347656,239.31756591796875,119.31999969482422,101.12999725341797
2022-10-24,148.37315368652344,244.38821411132812,119.81999969482422,102.5199966430664
2022-10-25,151.24234008789062,247.75872802734375,120.5999984741211,104.4800033569336
2022-10-26,148.27386474609375,228.642578125,115.66000366210938,94.93000030517578
2022-10-27,143.7566680908203,224.12548828125,110.95999908447266,92.22000122070312
2022-10-28,154.61785888671875,233.13990783691406,103.41000366210938,96.29000091552734
